"ng-binding","pbi src","st-ply href","st-ply-name","st-ply-tm-name","ng-binding 2","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-binding 11","ng-binding 12","np-ico src"
"48","https://scores.iplt20.com/ipl/playerimages/Mayank%20Markande.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/4951","Mayank Markande","SRH","8","7","7","22.0","259","26/2","32.37","11.77","16.50","0","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
"49","https://scores.iplt20.com/ipl/playerimages/Mayank%20Yadav.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/20585","Mayank Yadav","LSG","7","4","4","12.1","85","14/3","12.14","6.98","10.42","0","0","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"50","https://scores.iplt20.com/ipl/playerimages/Harpreet%20Brar.png?v=1","https://www.iplt20.com/teams/punjab-kings/squad-details/5441","Harpreet Brar","PBKS","7","13","13","38.0","303","13/2","43.28","7.97","32.57","0","0","https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1"
"51","https://scores.iplt20.com/ipl/playerimages/Nandre%20Burger.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/20716","Nandre Burger","RR","7","6","5","17.0","145","29/2","20.71","8.52","14.57","0","0","https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1"
"52","https://scores.iplt20.com/ipl/playerimages/Sai%20Kishore.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/7123","Sai Kishore","GT","7","5","5","15.0","137","33/4","19.57","9.13","12.85","1","0","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"53","https://scores.iplt20.com/ipl/playerimages/Shahbaz%20Ahmed.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/13803","Shahbaz Ahmed","SRH","7","16","15","27.3","270","23/3","38.57","9.81","23.57","0","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
"54","https://scores.iplt20.com/ipl/playerimages/Karn%20Sharma.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/1118","Karn Sharma","RCB","7","9","9","24.0","254","29/2","36.28","10.58","20.57","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"55","https://scores.iplt20.com/ipl/playerimages/Anrich%20Nortje.png?v=1","https://www.iplt20.com/teams/delhi-capitals/squad-details/5433","Anrich Nortje","DC","7","6","6","22.0","294","59/3","42.00","13.36","18.85","0","0","https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1"
"56","https://scores.iplt20.com/ipl/playerimages/Krunal%20Pandya.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/3183","Krunal Pandya","LSG","6","14","12","33.0","255","11/3","42.50","7.72","33.00","0","0","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"57","https://scores.iplt20.com/ipl/playerimages/Glenn%20Maxwell.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/282","Glenn Maxwell","RCB","6","10","6","16.0","129","23/2","21.50","8.06","16.00","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"58","https://scores.iplt20.com/ipl/playerimages/Swapnil%20Singh.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/3180","Swapnil Singh","RCB","6","7","7","15.0","133","28/2","22.16","8.86","15.00","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"59","https://scores.iplt20.com/ipl/playerimages/Kuldeep%20Sen.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/20616","Kuldeep Sen","RR","6","3","3","12.0","122","41/3","20.33","10.16","12.00","0","0","https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1"
"60","https://scores.iplt20.com/ipl/playerimages/Sandeep%20Warrier.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/1092","Sandeep Warrier","GT","6","5","5","11.0","119","15/3","19.83","10.81","11.00","0","0","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"61","https://scores.iplt20.com/ipl/playerimages/Deepak%20Chahar.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/140","Deepak Chahar","CSK","5","8","8","23.3","202","28/2","40.40","8.59","28.20","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"62","https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/1745","Shardul Thakur","CSK","5","9","9","31.4","309","61/2","61.80","9.75","38.00","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"63","https://scores.iplt20.com/ipl/playerimages/Simarjeet%20Singh.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/10789","Simarjeet Singh","CSK","5","4","4","12.0","121","26/3","24.20","10.08","14.40","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"64","https://scores.iplt20.com/ipl/playerimages/Akash%20Madhwal.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/20681","Akash Madhwal","MI","5","5","5","18.1","205","20/3","41.00","11.28","21.80","0","0","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
